date,description,amount,category
2025-08-18,DOCTOR,-62.51,Health
2025-08-02,POS PURCHASE COMCAST store #904,-38.68,Utilities
2025-07-10,DOORDASH,-199.92,Dining
2025-12-16,DENTIST,-164.49,Health
2025-11-05,DOMINOS store #982,-86.22,Dining
2025-11-03,MCDONALDS store #979,-141.54,Dining
2025-02-28,UBER,-24.6,Transport
2025-06-17,POS PURCHASE SUBWAY,-27.28,Dining
2026-01-26,DIVIDEND,3816.16,Income
2025-11-19,PAYROLL,4192.27,Income
2025-02-27,WATER DEPT,-101.43,Utilities
2026-01-18,SALARY,3669.56,Income
2025-12-31,WALGREENS,-100.04,Health
2025-06-22,EXXON,-112.82,Transport
2025-09-14,DENTIST,-99.12,Health
2025-07-11,KROGER,-63.79,Groceries
2025-04-05,MORTGAGE,-1671.26,Rent
2025-04-23,WATER DEPT,-28.8,Utilities
2025-02-11,TRADER JOE'S,-157.69,Groceries
2025-07-24,BP,-13.66,Transport
2025-10-11,POS PURCHASE CINEMA,-60.28,Entertainment
2025-06-17,MCDONALDS,-75.45,Dining
2025-10-27,WEGMANS,-145.93,Groceries
2025-05-11,LEASING OFFICE store #875,-1178.79,Rent
2025-04-28,H&M store #130,-168.98,Shopping
2025-07-29,LEASING OFFICE,-1557.55,Rent
2025-08-05,DUKE ENERGY store #173,-46.49,Utilities
2026-02-09,POS PURCHASE DIRECT DEPOSIT,4336.98,Income
2026-01-08,EXXON,-140.79,Transport
2025-07-30,KROGER,-158.25,Groceries
2025-09-12,STEAM store #675,-30.77,Entertainment
2025-10-19,SALARY,2273.43,Income
2025-03-24,DIRECT DEPOSIT store #777,3626.05,Income
2025-11-09,PAYROLL store #289,4245.63,Income
2025-09-16,PAYROLL,4732.79,Income
2025-08-13,CVS,-37.94,Health
2025-12-19,APARTMENT RENT store #219,-1559.92,Rent
2025-07-06,APARTMENT RENT store #826,-1781.74,Rent
2025-10-29,COMCAST store #492,-159.22,Utilities
2026-01-20,VERIZON,-25.63,Utilities
2025-11-26,STEAM,-188.56,Entertainment
2025-10-16,KROGER,-53.84,Groceries
2025-12-21,CITY ELECTRIC store #861,-99.84,Utilities
2025-02-19,AT&T,-76.32,Utilities
2025-09-10,DIVIDEND,4049.71,Income
2025-07-09,LEASING OFFICE,-1490.67,Rent
2026-01-17,APARTMENT RENT,-1565.95,Rent
2025-04-24,PAYROLL,2466.2,Income
2025-06-21,PUBLIX store #849,-123.46,Groceries
2025-03-06,HULU,-161.95,Entertainment
2026-01-30,CVS,-135.03,Health
2025-07-02,POS PURCHASE SOUTHWEST,-119.76,Transport
2025-03-23,SHELL store #235,-192.62,Transport
2025-10-13,POS PURCHASE SAFEWAY,-49.76,Groceries
2025-04-20,CINEMA,-69.61,Entertainment
2025-02-17,QUEST DIAGNOSTICS,-53.55,Health
2025-06-10,NETFLIX store #506,-113.14,Entertainment
2025-02-18,WALMART store #368,-182.56,Groceries
2025-02-23,NETFLIX store #346,-79.04,Entertainment
2025-08-18,POS PURCHASE LEASING OFFICE,-1242.9,Rent
2025-04-15,SUBWAY,-103.78,Dining
2026-01-13,POS PURCHASE DOMINOS,-67.78,Dining
2025-07-29,TARGET,-138.04,Shopping
2025-06-06,NINTENDO store #620,-56.3,Entertainment
2025-07-14,DOCTOR,-135.79,Health
2025-08-14,ALDI,-71.73,Groceries
2025-09-16,DOCTOR,-112.3,Health
2025-02-14,DUKE ENERGY,-150.78,Utilities
2026-02-09,PAYROLL store #657,4637.1,Income
2025-12-15,DIRECT DEPOSIT,3532.81,Income
2025-10-15,POS PURCHASE DIVIDEND store #735,4352.1,Income
2025-09-01,COMCAST,-61.32,Utilities
2025-06-20,SHELL store #888,-48.72,Transport
2025-11-30,NETFLIX,-15.46,Entertainment
2025-07-03,AMAZON store #143,-167.63,Shopping
2025-08-17,DOMINOS,-70.34,Dining
2025-04-01,COMCAST,-178.16,Utilities
2025-11-29,AMTRAK store #697,-19.45,Transport
2025-06-04,SOUTHWEST,-16.53,Transport
2025-12-05,DOCTOR,-150.15,Health
2025-07-29,STEAM,-139.68,Entertainment
2025-06-13,ALDI,-138.64,Groceries
2025-07-12,MORTGAGE,-1491.15,Rent
2025-11-17,POS PURCHASE H&M,-18.56,Shopping
2025-04-29,APPLE,-92.06,Shopping
2026-01-28,TRADER JOE'S store #145,-151.97,Groceries
2025-07-26,POS PURCHASE NINTENDO,-34.22,Entertainment
2025-02-09,DELTA store #543,-7.35,Transport
2026-01-09,MTA,-196.79,Transport
2025-11-01,SPOTIFY store #928,-188.31,Entertainment
2025-05-04,KROGER,-127.46,Groceries
2025-03-03,DOCTOR,-69.44,Health
2025-04-22,H&M,-176.19,Shopping
2025-11-27,POS PURCHASE DENTIST,-154.59,Health
2025-06-14,DUKE ENERGY store #634,-12.87,Utilities
2025-05-07,COMCAST store #643,-173.45,Utilities
2025-06-21,SOUTHWEST,-61.8,Transport
2025-09-09,WALGREENS,-18.77,Health
2025-04-02,POS PURCHASE H&M,-76.27,Shopping
2025-06-25,POS PURCHASE DOMINOS,-47.79,Dining
2025-08-19,AT&T,-127.86,Utilities
2025-04-25,AMAZON store #129,-32.75,Shopping
2026-01-09,MTA,-160.19,Transport
2025-10-04,ZARA store #778,-6.49,Shopping
2025-03-01,NIKE,-127.09,Shopping
2026-02-08,REFUND store #751,3261.45,Income
2026-01-31,UBER,-13.22,Transport
2025-07-12,STEAM store #206,-73.52,Entertainment
2025-04-23,DOMINOS,-33.05,Dining
2025-12-20,PAYROLL store #733,3822.57,Income
2025-04-17,WALMART,-151.12,Groceries
2025-04-26,LEASING OFFICE store #827,-1726.36,Rent
2025-04-28,LEASING OFFICE store #500,-1672.38,Rent
2025-10-19,POS PURCHASE SAFEWAY,-11.74,Groceries
2025-07-22,CHEVRON,-100.68,Transport
2026-02-02,POS PURCHASE MCDONALDS store #506,-44.96,Dining
2025-08-09,POS PURCHASE COMCAST store #445,-177.12,Utilities
2025-09-11,SAFEWAY,-31.0,Groceries
2025-04-08,POS PURCHASE COMCAST store #360,-175.18,Utilities
2025-11-16,APARTMENT RENT,-1231.53,Rent
2025-11-15,POS PURCHASE UBER,-38.19,Transport
2025-04-05,POS PURCHASE NETFLIX,-50.09,Entertainment
2026-02-06,WATER DEPT,-18.1,Utilities
2025-11-17,LYFT,-39.2,Transport
2025-12-02,ZARA,-164.9,Shopping
2025-09-11,MORTGAGE,-1949.64,Rent
2025-10-02,EXXON store #831,-173.55,Transport
2025-02-17,MTA,-198.42,Transport
2025-07-27,VERIZON,-15.22,Utilities
2025-06-23,SHELL,-199.01,Transport
2025-04-02,MORTGAGE store #360,-1156.1,Rent
2025-09-06,POS PURCHASE COMCAST,-199.13,Utilities
2025-07-02,COMCAST,-171.4,Utilities
2025-04-16,POS PURCHASE AMTRAK,-133.43,Transport
2025-10-12,DOCTOR,-44.4,Health
2025-06-06,NINTENDO store #763,-95.89,Entertainment
2026-01-28,WEGMANS store #753,-143.93,Groceries
2025-02-18,UBER EATS,-146.55,Dining
2025-08-21,EXXON,-125.73,Transport
2025-02-20,DELTA,-177.78,Transport
2025-10-03,CITY ELECTRIC,-155.22,Utilities
2025-08-26,LEASING OFFICE,-1993.57,Rent
2025-11-12,UBER,-198.47,Transport
2025-11-16,DIVIDEND,2680.74,Income
2025-11-22,VERIZON,-183.8,Utilities
2025-02-24,SALARY store #584,3041.49,Income
2025-07-20,DISNEY+ store #959,-171.14,Entertainment
2025-04-25,CITY ELECTRIC,-142.65,Utilities
2025-02-27,UBER,-194.99,Transport
2026-02-09,QUEST DIAGNOSTICS,-196.06,Health
2025-08-11,HOSPITAL store #546,-174.55,Health
2025-08-26,CHEVRON store #644,-25.34,Transport
2025-08-05,SUBWAY,-60.13,Dining
2025-12-18,LEASING OFFICE,-1978.3,Rent
2025-10-10,ZARA store #462,-67.11,Shopping
2025-09-14,REFUND store #683,3110.42,Income
2025-12-30,SALARY,3962.1,Income
2025-05-16,POS PURCHASE VERIZON store #557,-80.7,Utilities
2025-04-18,SHELL store #513,-112.5,Transport
2025-10-02,TRADER JOE'S store #749,-12.83,Groceries
2025-03-13,AMTRAK,-43.29,Transport
2025-02-22,APARTMENT RENT store #595,-1468.44,Rent
2025-04-25,POS PURCHASE AMTRAK,-34.76,Transport
2025-02-21,CVS store #272,-148.9,Health
2025-02-12,KROGER store #387,-180.3,Groceries
2025-12-01,STARBUCKS,-193.04,Dining
2025-06-14,POS PURCHASE DOMINOS,-137.91,Dining
2026-02-03,ZARA,-7.34,Shopping
2025-09-22,STEAM store #816,-104.2,Entertainment
2025-10-06,DISNEY+ store #715,-182.09,Entertainment
2025-02-14,APPLE,-105.05,Shopping
2025-04-24,TRADER JOE'S,-13.7,Groceries
2025-05-24,APARTMENT RENT store #279,-1331.69,Rent
2025-10-14,REFUND,2747.22,Income
2025-10-20,LYFT,-128.34,Transport
2025-05-17,MTA,-58.95,Transport
2025-09-27,REFUND,3558.6,Income
2025-11-10,WALGREENS,-7.87,Health
2025-08-02,HOSPITAL store #474,-28.09,Health
2025-08-29,NIKE,-129.94,Shopping
2025-08-22,WEGMANS,-32.37,Groceries
2025-06-06,APARTMENT RENT store #728,-1123.45,Rent
2025-09-23,NETFLIX,-140.65,Entertainment
2025-03-04,BURGER KING,-143.98,Dining
2025-04-16,POS PURCHASE TACO BELL,-118.05,Dining
2025-02-28,REFUND,2980.05,Income
2025-09-26,APPLE,-132.89,Shopping
2025-04-25,POS PURCHASE APARTMENT RENT,-1461.16,Rent
2025-04-22,DOCTOR,-145.53,Health
2026-01-21,DIVIDEND store #468,3253.41,Income
2025-04-29,UNIQLO,-55.67,Shopping
2026-02-01,LEASING OFFICE store #180,-1401.35,Rent
2025-06-16,STARBUCKS,-34.6,Dining
2025-06-17,HOSPITAL store #795,-162.7,Health
2025-11-11,TARGET,-136.02,Shopping
2025-09-21,WALMART store #249,-135.23,Groceries
2025-07-08,DIRECT DEPOSIT,2043.99,Income
2025-05-13,POS PURCHASE ALDI,-113.32,Groceries
2025-12-01,DOMINOS,-41.41,Dining
2026-01-17,UNIQLO,-108.83,Shopping
2025-04-27,EXXON,-51.09,Transport
2025-12-08,NINTENDO store #111,-75.38,Entertainment
2025-08-31,SHELL,-127.64,Transport
2025-09-01,DIRECT DEPOSIT,3556.89,Income
2025-05-11,UNIQLO,-90.98,Shopping
2025-03-20,MTA store #241,-175.33,Transport
2025-05-04,DISNEY+,-139.3,Entertainment
2025-06-01,H&M,-24.96,Shopping
2025-05-30,SUBWAY,-161.76,Dining
2025-08-06,PLAYSTATION,-44.48,Entertainment
2025-02-11,APARTMENT RENT,-1666.91,Rent
2026-02-03,WALGREENS store #626,-196.39,Health
2025-10-27,EXXON,-18.51,Transport
2025-06-27,CITY ELECTRIC,-104.07,Utilities
2025-05-13,ALDI,-58.5,Groceries
2025-02-28,QUEST DIAGNOSTICS store #476,-191.11,Health
2025-10-20,DISNEY+ store #735,-43.97,Entertainment
2025-03-11,AMTRAK store #973,-184.61,Transport
2025-07-21,CITY ELECTRIC,-18.34,Utilities
2025-05-30,HULU,-147.83,Entertainment
2025-04-23,SPOTIFY store #353,-132.6,Entertainment
2025-08-07,SOUTHWEST,-117.71,Transport
2025-08-20,TRADER JOE'S,-153.57,Groceries
2025-11-01,WALGREENS,-14.87,Health
2025-04-14,LEASING OFFICE store #110,-1681.01,Rent
2025-08-05,KROGER store #393,-7.12,Groceries
2025-04-01,AT&T store #947,-139.09,Utilities
2025-04-13,DOCTOR,-16.45,Health
2025-07-20,DENTIST,-104.51,Health
2025-08-18,PLAYSTATION store #444,-168.41,Entertainment
2025-09-28,LEASING OFFICE,-1185.41,Rent
2025-12-09,WEGMANS,-128.13,Groceries
2025-12-07,WALGREENS,-147.93,Health
2025-10-06,EXXON,-108.19,Transport
2025-12-02,MTA,-33.13,Transport
2025-12-07,UBER EATS store #739,-94.58,Dining
2025-04-21,DELTA,-152.08,Transport
2025-08-19,UBER,-44.02,Transport
2025-08-31,APPLE,-131.9,Shopping
2025-06-19,SAFEWAY,-181.96,Groceries
2025-03-03,CITY ELECTRIC,-130.54,Utilities
2025-12-02,BURGER KING,-59.63,Dining
2025-10-23,POS PURCHASE QUEST DIAGNOSTICS store #663,-57.4,Health
2025-04-05,COMCAST,-67.12,Utilities
2025-08-15,UBER,-130.62,Transport
2025-09-06,REFUND store #583,3297.82,Income
2025-05-07,WHOLE FOODS,-69.6,Groceries
2025-12-24,MORTGAGE,-1671.1,Rent
2025-05-16,DIRECT DEPOSIT,2200.63,Income
2025-04-22,SAFEWAY store #756,-186.03,Groceries
2025-09-30,APARTMENT RENT,-1292.84,Rent
2026-01-17,APPLE,-24.28,Shopping
2026-01-19,KROGER,-189.07,Groceries
2025-08-02,LEASING OFFICE,-1376.88,Rent
2025-08-31,DENTIST,-72.22,Health
2025-04-08,KROGER store #328,-159.28,Groceries
2025-11-07,PAYROLL store #936,4074.97,Income
2025-04-10,DOMINOS store #498,-73.5,Dining
2025-12-03,PAYROLL,3689.52,Income
2025-08-29,HOSPITAL store #747,-104.12,Health
2025-12-30,APPLE,-190.72,Shopping
2025-05-31,POS PURCHASE NETFLIX,-136.32,Entertainment
2025-03-26,MCDONALDS store #263,-119.97,Dining
2026-01-22,LEASING OFFICE,-1055.1,Rent
2025-07-30,CHEVRON,-177.13,Transport
2026-01-03,PUBLIX store #565,-141.46,Groceries
2025-07-13,WALGREENS,-11.39,Health
2025-09-03,UBER EATS,-129.92,Dining
2026-02-04,SHELL store #472,-55.67,Transport
2025-05-04,PAYROLL,4786.55,Income
2025-06-29,NETFLIX,-57.88,Entertainment
2025-04-20,H&M,-163.78,Shopping
2025-04-11,AMAZON,-130.89,Shopping
2025-11-03,DISNEY+,-100.78,Entertainment
2025-04-06,DENTIST,-95.48,Health
2025-09-23,TARGET store #964,-90.21,Shopping
2025-06-22,SUBWAY,-146.16,Dining
2025-12-19,DELTA,-106.16,Transport
2025-10-19,TRADER JOE'S,-91.78,Groceries
2025-12-28,DISNEY+,-148.16,Entertainment
2026-02-08,WALGREENS,-159.52,Health
2025-08-09,KROGER store #340,-144.19,Groceries
2025-10-18,APARTMENT RENT,-1179.61,Rent
2025-07-13,DISNEY+,-102.83,Entertainment
2025-06-03,DIVIDEND,3530.79,Income
2025-09-01,NETFLIX,-58.72,Entertainment
2025-11-16,HOSPITAL,-178.49,Health
2025-04-02,DELTA,-94.73,Transport
2025-08-24,WALGREENS,-24.41,Health
2025-09-07,POS PURCHASE REFUND,2347.38,Income
2025-02-22,BURGER KING,-89.6,Dining
2025-12-07,DIRECT DEPOSIT,3042.37,Income
2025-09-08,APARTMENT RENT store #938,-1738.12,Rent
2025-08-06,SHELL store #618,-146.13,Transport
2025-12-02,WHOLE FOODS,-165.31,Groceries
2025-05-23,QUEST DIAGNOSTICS store #377,-88.62,Health
2025-10-29,MORTGAGE,-1671.87,Rent
2025-05-13,COMCAST,-134.91,Utilities
2025-03-28,DIVIDEND,2308.86,Income
2026-01-19,PAYROLL,2303.71,Income
2025-11-12,HOSPITAL,-112.16,Health
2025-06-14,MTA,-127.09,Transport
2025-05-30,ALDI,-125.77,Groceries
2025-08-30,NETFLIX store #234,-41.19,Entertainment
2025-11-18,MORTGAGE,-1435.08,Rent
2025-10-28,AT&T,-146.76,Utilities
2026-01-16,CITY ELECTRIC,-134.43,Utilities
2025-02-13,PAYROLL,4956.06,Income
2026-02-02,EXXON,-69.7,Transport
2025-04-07,APARTMENT RENT,-1798.6,Rent
2025-06-21,TARGET store #642,-48.77,Shopping
2025-08-20,QUEST DIAGNOSTICS store #911,-7.31,Health
2025-07-01,PLAYSTATION,-37.75,Entertainment
2025-09-15,PUBLIX store #628,-115.79,Groceries
2025-03-24,NIKE,-114.91,Shopping
2025-12-09,DELTA store #893,-173.75,Transport
2025-05-22,WEGMANS,-199.94,Groceries
2025-02-22,APARTMENT RENT store #921,-1642.37,Rent
2025-05-18,PAYROLL store #342,2096.42,Income
2025-11-13,QUEST DIAGNOSTICS,-129.64,Health
2026-01-18,LEASING OFFICE store #790,-1453.32,Rent
2025-11-08,DIRECT DEPOSIT,4803.74,Income
2025-05-01,DENTIST,-96.31,Health
2025-08-11,LEASING OFFICE,-1385.83,Rent
2025-02-20,MORTGAGE store #671,-1365.01,Rent
2026-01-04,DISNEY+ store #613,-197.51,Entertainment
2025-09-14,LEASING OFFICE,-1864.22,Rent
2025-09-26,DENTIST,-14.68,Health
2025-06-06,DENTIST store #148,-172.34,Health
2025-03-20,CITY ELECTRIC,-100.45,Utilities
2025-04-04,WALGREENS,-178.07,Health
2025-08-20,CINEMA,-25.84,Entertainment
2026-01-11,BEST BUY,-81.56,Shopping
2025-05-31,TARGET,-173.66,Shopping
2025-08-12,HULU store #480,-19.71,Entertainment
2025-08-19,SOUTHWEST,-173.92,Transport
2025-07-25,VERIZON,-139.45,Utilities
2025-04-20,MORTGAGE,-1489.25,Rent
2025-09-22,REFUND,4103.89,Income
2025-05-07,POS PURCHASE DISNEY+,-139.54,Entertainment
2025-05-27,POS PURCHASE UNIQLO store #545,-186.67,Shopping
2026-01-19,CVS,-138.2,Health
2026-01-24,POS PURCHASE H&M,-53.09,Shopping
2025-11-29,LYFT,-157.52,Transport
2026-01-20,CVS,-160.64,Health
2026-01-21,POS PURCHASE APPLE,-121.09,Shopping
2025-07-20,LEASING OFFICE,-1521.92,Rent
2026-01-13,DELTA,-171.73,Transport
2025-07-20,POS PURCHASE LEASING OFFICE store #874,-1761.45,Rent
2025-03-21,WALMART store #625,-111.99,Groceries
2025-03-31,POS PURCHASE DENTIST,-28.99,Health
2025-08-29,BURGER KING store #484,-24.79,Dining
2025-12-11,POS PURCHASE DIVIDEND,2093.28,Income
2025-05-16,MORTGAGE,-1932.24,Rent
2025-05-02,NINTENDO,-74.59,Entertainment
2025-02-17,TRADER JOE'S,-159.32,Groceries
2025-05-12,WHOLE FOODS,-94.3,Groceries
2025-11-15,COMCAST store #434,-124.77,Utilities
2025-10-26,DIRECT DEPOSIT store #174,3089.39,Income
2025-08-09,CVS,-156.68,Health
2025-09-24,MORTGAGE store #801,-1238.78,Rent
2025-05-16,POS PURCHASE APPLE,-53.57,Shopping
2025-10-07,PAYROLL store #275,3406.64,Income
2025-02-16,WATER DEPT,-85.52,Utilities
2025-06-12,DUKE ENERGY,-97.93,Utilities
2025-03-29,WATER DEPT store #539,-13.42,Utilities
2025-10-11,NETFLIX,-64.14,Entertainment
2025-08-04,COMCAST,-146.17,Utilities
2025-10-18,DOMINOS,-23.1,Dining
2025-05-01,UBER EATS,-19.38,Dining
2025-10-18,WHOLE FOODS,-22.44,Groceries
2025-12-27,POS PURCHASE DISNEY+,-106.42,Entertainment
2025-12-18,NETFLIX,-119.68,Entertainment
2026-01-20,CHEVRON store #554,-110.77,Transport
2025-05-17,CHEVRON,-61.84,Transport
2025-06-04,DIRECT DEPOSIT,4102.5,Income
2025-06-14,APPLE store #937,-144.23,Shopping
2025-08-12,SALARY,3554.59,Income
2025-03-21,UBER store #471,-6.43,Transport
2025-02-26,DISNEY+,-28.81,Entertainment
2025-04-21,LEASING OFFICE,-1985.43,Rent
2025-10-21,AMTRAK,-84.26,Transport
2025-12-21,LYFT,-66.83,Transport
2025-10-15,DIVIDEND,2275.99,Income
2026-01-22,NINTENDO store #705,-89.72,Entertainment
2025-02-12,HULU,-71.53,Entertainment
2025-04-16,DUNKIN store #600,-117.55,Dining
2025-02-09,KROGER,-83.99,Groceries
2025-03-20,PAYROLL,4706.48,Income
2025-10-09,WALGREENS,-57.14,Health
2025-09-24,CHEVRON,-189.1,Transport
2025-03-11,UNIQLO,-32.7,Shopping
2025-08-14,STARBUCKS store #397,-5.73,Dining
2025-06-30,WATER DEPT,-20.31,Utilities
2025-07-08,POS PURCHASE HOSPITAL,-195.81,Health
2025-05-20,POS PURCHASE DENTIST,-182.55,Health
2026-01-10,WALGREENS,-44.97,Health
2025-03-19,STARBUCKS store #404,-178.53,Dining
2025-12-07,AT&T,-133.9,Utilities
2025-05-03,POS PURCHASE SHELL,-73.65,Transport
2025-06-13,WALGREENS,-80.79,Health
2026-02-03,COMCAST store #586,-73.19,Utilities
2025-08-01,POS PURCHASE APARTMENT RENT,-1029.18,Rent
2025-12-20,DIVIDEND,3768.64,Income
2025-08-15,SHELL,-117.94,Transport
2025-12-13,AT&T,-142.35,Utilities
2025-04-13,CINEMA store #849,-93.57,Entertainment
2025-11-11,DIVIDEND,4695.84,Income
2025-12-14,WHOLE FOODS,-164.14,Groceries
2025-06-07,MORTGAGE store #297,-1063.37,Rent
2025-10-18,HULU store #679,-32.32,Entertainment
2025-06-18,WALMART store #360,-192.7,Groceries
2025-03-01,DUKE ENERGY,-128.39,Utilities
2025-10-03,AMAZON,-50.25,Shopping
2025-05-24,DOORDASH,-83.24,Dining
2025-04-19,DUKE ENERGY,-113.67,Utilities
2025-11-19,HULU store #468,-70.07,Entertainment
2025-02-21,DIRECT DEPOSIT,3601.59,Income
2025-11-04,VERIZON store #796,-76.82,Utilities
2025-07-30,LEASING OFFICE,-1516.02,Rent
2025-07-17,POS PURCHASE MORTGAGE,-1449.62,Rent
2025-11-19,BURGER KING store #562,-142.21,Dining
2025-10-16,POS PURCHASE STARBUCKS store #482,-32.91,Dining
2025-12-19,UNIQLO store #123,-54.79,Shopping
2025-04-30,MCDONALDS,-99.74,Dining
2025-10-20,AMTRAK,-182.98,Transport
2025-05-06,DOMINOS,-177.8,Dining
2025-10-19,DENTIST,-41.87,Health
2025-10-13,REFUND,4427.13,Income
2025-06-15,MTA store #462,-147.93,Transport
2025-03-27,LYFT,-39.33,Transport
2025-03-27,DOORDASH store #596,-170.96,Dining
2025-08-07,STEAM,-44.54,Entertainment
2025-08-30,LYFT,-159.19,Transport
2026-01-02,LEASING OFFICE store #287,-1953.76,Rent
2025-07-07,HULU,-14.07,Entertainment
2025-09-10,LEASING OFFICE,-1602.86,Rent
2026-01-09,ZARA,-119.2,Shopping
2025-10-02,DIVIDEND,3282.65,Income
2025-05-31,SALARY,2500.85,Income
2025-09-01,POS PURCHASE ZARA,-109.59,Shopping
2025-04-05,HOSPITAL,-80.29,Health
2025-12-15,CVS,-183.69,Health
2025-09-27,LEASING OFFICE,-1305.61,Rent
2026-02-08,POS PURCHASE MORTGAGE,-1392.68,Rent
2025-04-06,SALARY store #350,3345.15,Income
2025-11-01,UNIQLO,-134.87,Shopping
2025-05-26,H&M,-151.05,Shopping
2025-12-31,HULU,-189.87,Entertainment
2026-01-07,MTA,-42.33,Transport
2025-12-09,SAFEWAY,-160.78,Groceries
2025-12-05,TRADER JOE'S,-141.51,Groceries
2025-07-19,H&M,-195.39,Shopping
2025-02-22,DOMINOS store #923,-8.99,Dining
2026-01-20,DISNEY+,-153.16,Entertainment
2025-11-25,KROGER,-94.65,Groceries
2025-12-01,AT&T,-64.23,Utilities
2025-02-22,SALARY,4984.27,Income
2025-03-25,AMTRAK,-105.7,Transport
2025-09-20,POS PURCHASE LEASING OFFICE store #467,-1428.59,Rent
2025-04-17,POS PURCHASE H&M store #984,-30.25,Shopping
2025-10-03,DENTIST,-122.63,Health
2025-05-27,LEASING OFFICE,-1199.94,Rent
2025-08-29,AT&T,-53.96,Utilities
2025-11-09,POS PURCHASE TRADER JOE'S,-144.33,Groceries
2025-08-11,COMCAST,-158.73,Utilities
2025-05-24,MORTGAGE,-1041.12,Rent
2025-07-31,ALDI,-71.35,Groceries
2025-04-27,AT&T store #424,-66.26,Utilities
2025-11-25,POS PURCHASE CINEMA,-144.28,Entertainment
2025-11-28,PAYROLL,4994.94,Income
2025-10-16,AMAZON,-175.29,Shopping
2026-01-12,AMTRAK store #449,-196.28,Transport
2025-09-20,WHOLE FOODS,-24.27,Groceries
2025-08-11,CHEVRON,-38.56,Transport
2026-01-31,WALMART store #599,-71.89,Groceries
2025-04-15,HOSPITAL,-79.52,Health
2025-07-07,WALGREENS store #122,-170.57,Health
2025-10-21,LEASING OFFICE store #901,-1632.7,Rent
2025-08-07,BEST BUY,-139.48,Shopping
2025-05-07,NINTENDO,-157.33,Entertainment
2025-05-16,CITY ELECTRIC,-196.55,Utilities
2025-12-28,UBER EATS,-161.19,Dining
2025-09-27,VERIZON store #346,-7.71,Utilities
2025-10-25,QUEST DIAGNOSTICS,-192.55,Health
2025-11-17,WHOLE FOODS,-123.22,Groceries
2026-01-29,STEAM,-195.86,Entertainment
2025-02-25,REFUND store #376,3851.01,Income
2025-03-03,POS PURCHASE LEASING OFFICE store #788,-1164.21,Rent
2025-08-28,POS PURCHASE DISNEY+ store #442,-70.72,Entertainment
2025-09-03,WEGMANS,-48.96,Groceries
2025-05-28,MCDONALDS store #252,-6.96,Dining
2025-10-30,PLAYSTATION,-59.24,Entertainment
2025-11-17,ZARA,-10.09,Shopping
2025-05-25,ALDI,-168.11,Groceries
2025-08-23,ALDI,-134.58,Groceries
2026-01-21,PAYROLL,2479.4,Income
2025-08-06,POS PURCHASE WEGMANS,-190.06,Groceries
2025-03-24,EXXON,-138.74,Transport
2025-03-27,MCDONALDS store #113,-74.67,Dining
2025-12-15,POS PURCHASE LYFT store #115,-157.32,Transport
2025-10-02,KROGER,-99.39,Groceries
2025-07-13,POS PURCHASE MORTGAGE,-1076.72,Rent
2025-10-09,MORTGAGE,-1197.83,Rent
2025-07-16,DISNEY+,-14.86,Entertainment
2025-04-19,WALMART store #296,-160.85,Groceries
2025-12-25,SALARY,4300.77,Income
2025-07-18,ZARA,-64.3,Shopping
2026-01-25,MORTGAGE store #510,-1327.77,Rent
2025-10-09,NIKE store #681,-175.54,Shopping
2025-12-19,CVS,-70.08,Health
2025-04-04,POS PURCHASE SOUTHWEST,-152.11,Transport
2025-02-18,LEASING OFFICE,-1307.7,Rent
2025-11-14,CHIPOTLE,-121.48,Dining
2025-06-24,TARGET,-51.52,Shopping
2025-02-18,LYFT,-118.44,Transport
2025-06-03,POS PURCHASE CVS store #377,-86.43,Health
2025-04-13,POS PURCHASE CVS,-181.66,Health
2025-05-20,PAYROLL,3382.48,Income
2025-09-21,COMCAST store #549,-142.04,Utilities
2025-11-10,PAYROLL store #594,4822.3,Income
2025-05-07,MCDONALDS store #859,-187.92,Dining
2025-11-13,APPLE,-157.55,Shopping
2025-11-20,TARGET,-173.93,Shopping
2025-11-02,MORTGAGE,-1133.77,Rent
2026-02-06,STEAM,-106.25,Entertainment
2025-12-03,NETFLIX,-132.87,Entertainment
2025-03-16,WALGREENS,-158.55,Health
2025-10-20,WATER DEPT,-185.95,Utilities
2026-01-25,HOSPITAL store #569,-19.88,Health
2025-04-28,MORTGAGE,-1126.91,Rent
2025-07-11,H&M,-171.22,Shopping
2025-06-01,NINTENDO,-121.48,Entertainment
2025-11-17,BEST BUY store #351,-100.62,Shopping
2025-04-06,WHOLE FOODS,-18.16,Groceries
2025-05-09,DIRECT DEPOSIT,4325.75,Income
2025-05-04,SUBWAY,-133.56,Dining
2025-07-31,WATER DEPT,-14.17,Utilities
2025-02-20,HOSPITAL store #687,-119.26,Health
2025-04-11,POS PURCHASE MTA,-149.06,Transport
2025-10-15,HOSPITAL,-95.36,Health
2025-12-11,SALARY,2293.38,Income
2025-03-20,UNIQLO store #775,-7.34,Shopping
2025-10-19,VERIZON store #776,-31.27,Utilities
2025-09-19,H&M,-112.11,Shopping
2025-05-18,TARGET store #598,-20.6,Shopping
2025-12-29,APARTMENT RENT,-1191.13,Rent
2025-02-28,SPOTIFY store #727,-175.91,Entertainment
2025-12-15,SALARY store #188,3637.37,Income
2025-05-04,WALGREENS store #309,-177.4,Health
2025-03-21,DENTIST,-88.84,Health
2025-10-28,CHIPOTLE,-120.97,Dining
2025-02-12,BEST BUY,-101.85,Shopping
2025-10-09,SHELL,-9.84,Transport
